time,open,close,high,low
2024-09-12 19:41:00+06:00,126.337,126.342,126.368,126.318
2024-09-12 19:40:00+06:00,126.341,126.336,126.343,126.315
2024-09-12 19:39:00+06:00,126.353,126.341,126.377,126.339
2024-09-12 19:38:00+06:00,126.382,126.356,126.385,126.347
2024-09-12 19:37:00+06:00,126.376,126.384,126.385,126.361
2024-09-12 19:36:00+06:00,126.31,126.376,126.378,126.303
2024-09-12 19:35:00+06:00,126.264,126.303,126.303,126.254
2024-09-12 19:34:00+06:00,126.316,126.264,126.328,126.264
2024-09-12 19:33:00+06:00,126.295,126.314,126.324,126.293
2024-09-12 19:32:00+06:00,126.286,126.295,126.297,126.26
2024-09-12 19:31:00+06:00,126.311,126.283,126.328,126.271
2024-09-12 19:30:00+06:00,126.322,126.311,126.324,126.29
2024-09-12 19:29:00+06:00,126.289,126.322,126.34,126.289
2024-09-12 19:28:00+06:00,126.292,126.289,126.307,126.281
2024-09-12 19:27:00+06:00,126.295,126.292,126.33,126.276
2024-09-12 19:26:00+06:00,126.25,126.295,126.309,126.248
2024-09-12 19:25:00+06:00,126.196,126.25,126.254,126.188
2024-09-12 19:24:00+06:00,126.168,126.196,126.203,126.167
2024-09-12 19:23:00+06:00,126.144,126.168,126.178,126.138
2024-09-12 19:22:00+06:00,126.178,126.144,126.183,126.138
2024-09-12 19:21:00+06:00,126.225,126.184,126.234,126.184
2024-09-12 19:20:00+06:00,126.281,126.223,126.285,126.221
2024-09-12 19:19:00+06:00,126.252,126.281,126.283,126.225
2024-09-12 19:18:00+06:00,126.303,126.252,126.303,126.25
2024-09-12 19:17:00+06:00,126.346,126.303,126.35,126.299
2024-09-12 19:16:00+06:00,126.323,126.348,126.352,126.321
2024-09-12 19:15:00+06:00,126.312,126.322,126.35,126.312
2024-09-12 19:14:00+06:00,126.299,126.312,126.334,126.296
2024-09-12 19:13:00+06:00,126.297,126.296,126.305,126.278
2024-09-12 19:12:00+06:00,126.304,126.297,126.315,126.29
2024-09-12 19:11:00+06:00,126.313,126.304,126.319,126.284
2024-09-12 19:10:00+06:00,126.336,126.313,126.341,126.31
2024-09-12 19:09:00+06:00,126.286,126.333,126.333,126.271
2024-09-12 19:08:00+06:00,126.27,126.286,126.292,126.253
2024-09-12 19:07:00+06:00,126.252,126.27,126.298,126.244
2024-09-12 19:06:00+06:00,126.217,126.254,126.26,126.217
